block,stage,treatment,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,fresh_weight_g,dry_weight_g
1,veg,Veg Aphid Free,1,174,726,0.76,17.5,175,832,0.789,3.754,0,27.51,6.299391304
1,veg,Veg Aphid Free,2,215,814,0.735,16.6,241,935,0.742,2.879,0,34.49,8.712991004
1,veg,Veg Aphid Free,3,188,734,0.743,20.9,208,884,0.764,3.25,0,43.75,9.893774704
1,veg,Veg Aphid Free,4,191,713,0.732,37.1,224,880,0.745,2.928,0,38.01,8.947927869
1,veg,Veg Aphid Free,5,189,646,0.707,64.1,207,777,0.733,2.753,0,32.73,7.829149026
1,veg,Veg Aphid Free,6,192,662,0.709,64,219,824,0.734,2.762,0,37.45,7.806686332
1,veg,Veg Aphid Free,7,213,738,0.711,70.1,237,949,0.75,3.004,0,37.64,8.461896948
1,veg,Veg Aphid Free,8,191,647,0.704,51.1,226,834,0.729,2.69,0,35.21,7.545
1,veg,Veg Aphid Free,9,202,709,0.715,44.4,231,852,0.728,2.688,0,31.5,6.940897858
1,veg,Veg Aphid Free,10,209,710,0.705,63.6,250,882,0.716,2.528,0,35.26,7.410485584
2,veg,Veg Aphid Free,1,187,728,0.743,28.3,197,871,0.773,3.421,0,55.88,12.53972993
2,veg,Veg Aphid Free,2,197,732,0.73,25.1,229,919,0.75,3.013,0,50.73,12.00244727
2,veg,Veg Aphid Free,3,202,758,0.733,24.6,215,877,0.754,3.079,0,43.47,9.715358166
2,veg,Veg Aphid Free,4,185,700,0.735,25.3,217,893,0.756,3.115,0,56.61,12.56437796
2,veg,Veg Aphid Free,5,201,773,0.739,27.6,226,972,0.767,3.3,0,45.11,10.16317992
2,veg,Veg Aphid Free,6,202,683,0.704,31.6,216,874,0.752,3.046,0,52.98,11.56522621
2,veg,Veg Aphid Free,7,195,750,0.74,31.3,217,912,0.762,3.202,0,55.22,13.0208735
2,veg,Veg Aphid Free,8,194,772,0.748,31.7,222,917,0.757,3.13,0,50.92,11.35568164
2,veg,Veg Aphid Free,9,190,755,0.748,33.9,219,901,0.756,3.114,0,51.77,11.54503881
2,veg,Veg Aphid Free,10,182,736,0.752,32.8,213,886,0.759,3.159,0,40.23,9.353321918
1,veg,Veg Infested,1,162,644,0.748,46.8,205,815,0.748,2.975,1618,37.04,9.506189295
1,veg,Veg Infested,2,176,667,0.736,42.9,197,760,0.74,2.875,1323,31.77,7.264597062
1,veg,Veg Infested,3,195,714,0.726,60.9,209,886,0.764,3.239,889,36.77,8.646410891
1,veg,Veg Infested,4,178,723,0.753,39.8,222,922,0.759,3.153,1458,42.73,10.69580324
1,veg,Veg Infested,5,186,672,0.723,41.5,218,850,0.743,2.899,1309,44.26,9.695170405
1,veg,Veg Infested,6,197,700,0.718,54.2,220,821,0.732,2.731,2348,32,7.258467023
1,veg,Veg Infested,7,192,704,0.727,43.9,237,928,0.744,2.915,2043,34.93,7.518679314
1,veg,Veg Infested,8,188,672,0.72,60.7,220,830,0.734,2.772,1280,32.45,7.580633007
1,veg,Veg Infested,9,207,732,0.717,64.4,217,845,0.743,2.894,2328,49.46,11.13053324
1,veg,Veg Infested,10,201,729,0.724,64.1,226,879,0.742,2.889,3187,34.35,7.263436123
2,veg,Veg Infested,1,185,733,0.743,53,212,791,0.731,2.731,4262,30.28,6.371390172
2,veg,Veg Infested,2,215,745,0.711,45,228,903,0.747,2.96,2945,48.57,11.29901799
2,veg,Veg Infested,3,195,750,0.74,54.7,202,859,0.764,3.252,1487,48.14,10.56085646
2,veg,Veg Infested,4,193,651,0.703,23.6,227,804,0.717,2.541,827,47.06,10.3798681
2,veg,Veg Infested,5,207,716,0.71,37.2,248,894,0.722,2.604,4266,43.59,9.506067797
2,veg,Veg Infested,6,186,584,0.681,20.5,218,751,0.709,2.444,715,45.49,10.43038215
2,veg,Veg Infested,7,212,760,0.721,52.3,193,741,0.739,2.839,1263,41.94,9.715367016
2,veg,Veg Infested,8,191,767,0.75,47.2,235,971,0.757,3.313,3085,43.97,8.89732376
2,veg,Veg Infested,9,212,762,0.721,44.5,232,892,0.739,2.844,1132,58.87,12.1989335
2,veg,Veg Infested,10,188,740,0.745,48.1,250,1014,0.753,3.056,2117,47.49,11.10123663
1,flow,Flow Aphid Free,1,183,651,0.718,66.3,215,855,0.748,2.976,0,51.92,13.8804053
1,flow,Flow Aphid Free,2,182,687,0.735,56.1,209,847,0.753,3.052,0,68.62,14.49821181
1,flow,Flow Aphid Free,3,182,696,0.738,61.9,218,859,0.746,2.94,0,61.08,12.61784211
1,flow,Flow Aphid Free,4,193,719,0.731,71.8,208,891,0.766,3.283,0,73.37,16.64636394
1,flow,Flow Aphid Free,5,191,654,0.707,71.2,209,826,0.746,2.952,0,73.13,14.99091032
1,flow,Flow Aphid Free,6,179,698,0.743,75.1,190,810,0.765,3.263,0,59.17,14.68776872
1,flow,Flow Aphid Free,7,181,618,0.707,59.3,224,870,0.742,2.883,0,75.47,16.10565563
1,flow,Flow Aphid Free,8,194,713,0.727,78.7,225,933,0.758,3.146,0,83.66,17.64615316
1,flow,Flow Aphid Free,9,193,722,0.732,64.2,209,850,0.754,3.066,0,64.06,14.36280074
1,flow,Flow Aphid Free,10,179,700,0.744,73.1,214,865,0.752,3.042,0,69.34,15.06737983
2,flow,Flow Aphid Free,1,182,686,0.734,37.6,218,895,0.756,3.105,0,71.21,14.86636203
2,flow,Flow Aphid Free,2,169,703,0.759,24.5,227,922,0.753,3.061,0,69.7,16.01529368
2,flow,Flow Aphid Free,3,211,758,0.721,23,216,895,0.758,3.143,0,87.08,19.2219435
2,flow,Flow Aphid Free,4,165,605,0.727,65.3,219,874,0.749,2.99,0,82.2,16.34508406
2,flow,Flow Aphid Free,5,96,703,0.863,32.9,229,9093,0.746,2.943,0,64,14.11480363
2,flow,Flow Aphid Free,6,186,651,0.714,42.5,229,947,0.758,3.135,0,90.91,19.88047912
2,flow,Flow Aphid Free,7,199,666,0.701,42.3,214,910,0.764,3.252,0,88.13,19.82130028
2,flow,Flow Aphid Free,8,190,649,0.707,57.5,220,871,0.747,2.959,0,84.51,17.27928848
2,flow,Flow Aphid Free,9,184,644,0.714,50.9,212,859,0.753,3.051,0,69.34,15.71517741
2,flow,Flow Aphid Free,10,160,585,0.726,45.1,212,850,0.75,3.009,0,77.94,16.65603951
1,flow,Flow Infested,1,185,697,0.734,45.6,206,848,0.757,3.116,40,67.46,14.12012869
1,flow,Flow Infested,2,221,743,0.702,54.8,230,990,0.767,3.304,149,71.11,16.55599091
1,flow,Flow Infested,3,191,733,0.739,23.5,210,816,0.742,2.885,448,69.54,17.10752889
1,flow,Flow Infested,4,192,746,0.742,30.2,198,855,0.768,3.318,696,68.43,16.10273184
1,flow,Flow Infested,5,190,713,0.733,46.1,215,845,0.745,2.93,677,68.36,15.84167156
1,flow,Flow Infested,6,206,737,0.72,34.1,213,938,0.772,3.403,914,70.53,15.7975009
1,flow,Flow Infested,7,215,811,0.734,31.7,209,928,0.774,3.44,951,76.83,16.99831175
1,flow,Flow Infested,8,187,734,0.745,31.6,195,852,0.771,3.369,1424,67.28,14.23882156
1,flow,Flow Infested,9,186,727,0.744,28.7,220,887,0.751,3.031,239,61.09,14.20838282
1,flow,Flow Infested,10,188,741,0.746,36.3,208,884,0.764,3.25,269,64.16,14.91975605
2,flow,Flow Infested,1,217,857,0.746,21.6,238,885,0.731,2.718,328,91.34,19.24695032
2,flow,Flow Infested,2,197,741,0.734,35.7,214,889,0.759,3.154,2375,85.69,17.49257931
2,flow,Flow Infested,3,172,695,0.752,48.3,208,847,0.754,3.072,545,75.92,16.45519523
2,flow,Flow Infested,4,211,675,0.687,21.6,246,800,0.692,2.252,1122,90.24,21.74147574
2,flow,Flow Infested,5,211,769,0.725,26.4,208,815,0.794,2.918,896,79.74,16.3213399
2,flow,Flow Infested,6,209,819,0.744,95.2,218,841,0.74,2.857,1162,67.82,14.58581824
2,flow,Flow Infested,7,214,778,0.724,20.9,237,959,0.752,3.046,1505,84.06,18.11682746
2,flow,Flow Infested,8,186,748,0.751,29.6,238,987,0.758,3.1,1159,80.42,17.00103978
2,flow,Flow Infested,9,183,737,0.751,37.8,235,996,0.764,3.238,2017,67.51,15.23867029
2,flow,Flow Infested,10,185,765,0.758,17.5,249,1027,0.757,3.124,1630,79.64,17.51297297
1,postflow,Post Aphid Free,1,222,709,0.686,50.1,270,912,0.703,2.377,0,96.27,27.54232349
1,postflow,Post Aphid Free,2,187,558,0.664,47.6,220,828,0.734,2.763,0,96.6,22.04794621
1,postflow,Post Aphid Free,3,208,693,0.699,44.3,243,1004,0.757,3.131,0,97.47,25.15504278
1,postflow,Post Aphid Free,4,233,778,0.7,65.2,253,955,0.735,2.774,0,129.42,30.96928376
1,postflow,Post Aphid Free,5,237,749,0.683,61.6,264,963,0.725,2.647,0,89.53,23.20015243
1,postflow,Post Aphid Free,6,222,703,0.684,33,256,945,0.729,2.691,0,97.89,24.62457576
1,postflow,Post Aphid Free,7,212,799,0.734,29.2,259,1143,0.773,3.413,0,77.88,23.31206426
1,postflow,Post Aphid Free,8,199,695,0.713,30.5,245,914,0.731,2.73,0,92.78,20.31812442
1,postflow,Post Aphid Free,9,185,681,0.728,87.1,203,826,0.754,3.068,0,112.8,23.55941783
1,postflow,Post Aphid Free,10,208,775,0.731,27,209,909,0.77,3.349,0,99.07,25.69900176
2,postflow,Post Aphid Free,1,187,734,0.745,36.2,258,955,0.729,2.701,0,123.18,31.25144177
2,postflow,Post Aphid Free,2,184,695,0.735,34.5,248,893,0.722,2.6,0,106.98,27.01538395
2,postflow,Post Aphid Free,3,223,810,0.724,13.9,272,973,0.72,2.577,0,95.89,24.23552601
2,postflow,Post Aphid Free,4,182,663,0.725,34.4,230,902,0.745,2.921,0,109.02,25.5465147
2,postflow,Post Aphid Free,5,197,533,0.63,20.1,226,697,0.675,2.084,0,149.23,33.33159414
2,postflow,Post Aphid Free,6,275,796,0.654,33.2,303,1059,0.713,2.495,0,104.56,24.97452229
2,postflow,Post Aphid Free,7,227,717,0.683,38.1,264,876,0.698,2.318,0,120.73,30.19963292
2,postflow,Post Aphid Free,8,238,890,0.732,33.8,262,923,0.716,2.522,0,136.48,29.06518519
2,postflow,Post Aphid Free,9,189,713,0.734,20.3,226,915,0.753,3.048,0,102.9,25.82836209
2,postflow,Post Aphid Free,10,182,729,0.75,20.4,245,956,0.743,2.902,0,135.41,30.26317465
1,postflow,Post Infested,1,192,600,0.68,30.2,233,885,0.736,2.798,390,120.72,30.91935056
1,postflow,Post Infested,2,190,708,0.731,45.7,213,902,0.763,3.234,510,109.77,23.35140704
1,postflow,Post Infested,3,212,730,0.709,41.9,241,863,0.72,2.58,1711,135.56,30.90902943
1,postflow,Post Infested,4,219,661,0.668,53.2,220,859,0.743,2.904,367,116.6,28.55583325
1,postflow,Post Infested,5,261,728,0.641,59.2,217,721,0.699,2.322,634,95.7,24.29520694
1,postflow,Post Infested,6,231,788,0.706,63.1,235,940,0.75,3,63,127.88,30.38377948
1,postflow,Post Infested,7,214,703,0.695,64.2,242,876,0.723,2.619,295,106.33,25.34990049
1,postflow,Post Infested,8,203,775,0.738,44,240,961,0.75,3.004,495,118.22,25.78277137
1,postflow,Post Infested,9,220,752,0.707,33.5,237,995,0.761,3.198,99,129.84,27.97894969
1,postflow,Post Infested,10,244,717,0.659,33.4,277,1053,0.736,2.801,219,81.44,25.37382313
2,postflow,Post Infested,1,206,755,0.727,46.7,232,923,0.748,2.978,358,148.74,32.16870668
2,postflow,Post Infested,2,220,754,0.708,49,229,920,0.751,3.017,1771,108.84,17.24568677
2,postflow,Post Infested,3,200,714,0.719,39.5,221,874,0.747,2.954,2731,138.04,29.77490698
2,postflow,Post Infested,4,228,723,0.684,14,268,963,0.721,2.593,5674,163.35,38.18208419
2,postflow,Post Infested,5,248,833,0.702,19.4,272,1035,0.737,2.805,1104,137.91,32.1288046
2,postflow,Post Infested,6,233,788,0.704,26,272,928,0.706,2.411,5989,123.27,28.25725928
2,postflow,Post Infested,7,203,734,0.723,14.8,255,929,0.725,2.643,2567,140.96,28.86392619
2,postflow,Post Infested,8,180,661,0.727,18.6,231,937,0.753,3.056,3472,133.25,28.25076061
2,postflow,Post Infested,9,172,739,0.767,39.2,244,997,0.755,3.086,4821,117.76,24.63178293
2,postflow,Post Infested,10,149,582,0.743,37.7,248,999,0.751,3.028,3522,105.76,23.87289991