Date,Week,Trap,Farm,Plant stage,Hemp type,person,Aeolothripidae,Thripidae,Syrphidae,Dolichopodidae,Tachinidae,Asylidae,Tephritoidea,Chloropidae,Agromyzidae,Cicadellidae,Membracidae,Cercopidae,Fulgoridae,Miridae,Aleyrodidae,Aphididae,Psyllidae,Anthocoridae,Nabidae,Chrysomelidae,Curculionidae,Other herb beetles,Coccinellidae,Staphylinidae,Lampyridae,Hym Parasitoids,Formicidae,Hym Pollinators,Other Hym,Chrysopidae,Arachnids,Tetranychidae,Pieridae,Gelechiidae,Other Moths,Noctuidae,Pirallidae,Glacillariidae,Scythrididae,Tineidae,Hesperidae,Other Lepidoptera,Acrididae,Grillidae,Dermaptera
Jun 17 - Jun 24,1,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,0,5,18,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,6,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0
Jun 17 - Jun 24,1,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,53,3,0,0,0,42,0,0,124,0,0,0,1,1,5,0,0,2,0,0,3,2,0,0,41,1,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,2,0
Jun 17 - Jun 24,1,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,85,9,7,0,0,31,0,0,141,0,0,0,0,8,1,0,0,0,4,0,0,0,2,0,33,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Jun 17 - Jun 24,1,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,141,11,1,0,0,32,0,0,127,0,0,1,0,2,2,0,0,4,4,0,1,0,2,0,33,37,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0
Jun 17 - Jun 24,1,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,66,5,5,0,0,38,0,0,144,0,0,0,0,7,0,0,0,0,2,0,3,0,1,0,48,2,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,2,1,0
Jun 17 - Jun 24,1,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,44,1,12,0,0,4,0,0,85,0,0,0,0,0,2,0,0,0,1,0,6,0,3,0,38,14,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jun 17 - Jun 24,1,7,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,16,2,12,0,0,16,0,0,65,1,0,0,0,1,2,0,0,0,3,0,2,0,4,0,18,16,0,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,1,0
Jun 24 - July 01,2,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,43,1,16,0,0,26,0,0,135,3,0,0,2,2,9,0,0,0,11,0,0,3,2,0,22,41,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,1
Jun 24 - July 01,2,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,87,7,12,0,0,20,2,0,196,8,0,1,11,4,5,0,0,2,6,0,0,4,1,0,22,8,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,1,1,0
Jun 24 - July 01,2,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,3,85,4,11,0,0,21,0,0,102,3,0,0,3,4,3,0,1,3,6,0,2,4,0,1,19,10,0,1,1,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0
Jun 24 - July 01,2,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,77,7,9,0,0,8,0,0,116,6,3,2,9,4,1,0,0,5,5,0,3,6,1,0,32,27,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Jun 24 - July 01,2,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,120,5,6,0,0,45,0,0,218,5,1,0,8,6,4,0,0,3,19,0,2,3,1,0,28,8,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,5,0
Jun 24 - July 01,2,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,142,5,4,0,0,8,0,0,134,13,4,0,6,3,1,0,1,9,12,0,8,0,0,0,27,41,0,5,0,9,0,2,0,2,0,0,0,0,0,0,0,1,2,0
Jun 24 - July 01,2,7,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,0,3,29,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,6,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,3,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,0,56,1,14,0,0,24,3,0,106,0,6,1,4,3,6,0,0,0,5,0,3,5,0,0,24,3,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
July 01 - July 07,3,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,13,35,1,21,0,0,13,5,0,37,0,0,1,2,0,6,0,0,1,21,0,1,0,0,0,27,6,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
July 01 - July 07,3,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,12,126,3,6,0,0,42,2,0,83,2,0,2,11,3,6,0,1,3,7,0,9,3,1,0,37,23,0,2,0,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0
July 01 - July 07,3,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,7,125,3,3,0,0,16,1,0,66,1,0,2,0,8,0,0,0,2,26,1,2,0,0,0,29,11,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0
July 01 - July 07,3,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,5,38,2,0,0,0,6,0,0,27,0,0,0,2,3,0,0,0,1,17,0,2,0,0,0,26,41,0,4,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,3,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,1,87,3,3,0,0,10,4,0,225,1,2,2,10,9,0,0,0,1,8,0,3,4,2,0,35,11,0,1,0,12,0,2,0,0,0,0,0,0,0,0,0,1,3,0
July 07 - July 14,4,1,SEAREC_trial,Vegetative,Fiber,Tori Strausser,16,138,15,1,0,0,44,2,0,205,0,0,2,12,13,0,0,0,0,5,0,1,5,0,0,22,1,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
July 07 - July 14,4,2,SEAREC_trial,Vegetative,Fiber,Tori Strausser,7,72,9,4,0,0,42,7,0,131,0,0,0,6,5,1,0,0,5,13,0,1,7,0,0,24,1,0,4,1,4,0,1,0,1,0,0,0,0,0,0,0,2,3,0
July 07 - July 14,4,3,SEAREC_trial,Vegetative,Fiber,Tori Strausser,13,31,0,12,0,0,12,1,0,122,0,0,2,15,8,9,0,0,3,9,0,9,9,0,0,66,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
July 07 - July 14,4,4,SEAREC_trial,Vegetative,Fiber,Tori Strausser,8,31,0,2,0,0,28,0,0,119,0,0,1,3,9,2,0,0,2,8,0,16,15,0,0,72,3,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,3,2,0
July 07 - July 14,4,5,SEAREC_trial,Vegetative,Fiber,Tori Strausser,4,26,5,1,0,0,20,7,0,94,0,0,2,11,5,0,0,0,2,0,0,2,6,0,0,7,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0
July 07 - July 14,4,6,SEAREC_trial,Vegetative,Fiber,Tori Strausser,3,33,0,1,0,0,6,0,0,128,0,0,0,0,7,1,0,0,3,11,0,1,4,1,0,63,3,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0
July 07 - July 14,4,7,SEAREC_trial,Vegetative,Fiber,Tori Strausser,3,59,12,1,0,0,31,2,0,100,1,0,2,5,5,4,0,0,0,3,0,3,17,8,0,32,6,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
July 14 - July 21,5,1,SEAREC_trial,Flowering,Fiber,Tori Strausser,5,25,7,4,0,0,34,14,0,140,0,0,0,5,3,0,0,0,1,4,0,2,17,1,0,27,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,13,0,0
July 14 - July 21,5,2,SEAREC_trial,Flowering,Fiber,Tori Strausser,3,17,4,0,0,0,29,13,0,131,0,0,1,4,22,1,0,0,0,9,0,1,8,0,0,26,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,0
July 14 - July 21,5,3,SEAREC_trial,Flowering,Fiber,Tori Strausser,7,11,1,5,0,0,5,8,0,77,0,0,0,2,6,0,0,0,0,9,0,0,12,2,0,55,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0
July 14 - July 21,5,4,SEAREC_trial,Flowering,Fiber,Tori Strausser,2,9,0,2,0,0,2,0,0,55,0,0,1,8,2,0,0,0,0,4,0,4,8,1,0,27,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,23,0,0
July 14 - July 21,5,5,SEAREC_trial,Flowering,Fiber,Tori Strausser,2,9,1,1,0,0,21,9,0,127,0,0,1,4,2,0,0,0,0,8,0,0,5,3,0,17,19,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,15,0,0
July 14 - July 21,5,6,SEAREC_trial,Flowering,Fiber,Tori Strausser,1,0,1,0,0,0,11,7,0,99,0,0,3,9,8,0,0,0,1,12,0,2,18,1,0,67,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,18,0,0
July 21 - July 28,6,1,SEAREC_trial,Flowering,Fiber,Tori Strausser,1,8,1,1,0,0,2,4,0,21,1,0,0,5,8,3,0,0,0,22,0,0,7,1,0,29,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
July 21 - July 28,6,2,SEAREC_trial,Flowering,Fiber,Tori Strausser,8,31,2,1,0,0,8,6,0,140,0,0,0,9,3,1,0,0,3,22,0,0,13,1,0,24,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 21 - July 28,6,3,SEAREC_trial,Flowering,Fiber,Tori Strausser,8,18,0,0,0,0,3,4,0,98,0,0,0,4,3,1,0,0,0,1,0,1,9,1,0,55,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 21 - July 28,6,4,SEAREC_trial,Flowering,Fiber,Tori Strausser,1,31,0,3,0,0,7,9,0,126,0,0,0,9,1,1,0,0,0,26,0,0,12,2,0,65,7,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,2,0,0
July 21 - July 28,6,5,SEAREC_trial,Flowering,Fiber,Tori Strausser,10,31,0,0,0,0,5,0,0,81,0,0,0,0,3,2,0,0,0,7,0,0,14,0,0,69,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 21 - July 28,6,6,SEAREC_trial,Flowering,Fiber,Tori Strausser,1,27,1,0,0,0,10,0,0,28,1,0,0,4,4,2,0,0,0,26,0,0,12,1,0,34,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0
July 21 - July 28,6,7,SEAREC_trial,Flowering,Fiber,Tori Strausser,1,7,0,1,0,0,10,2,0,109,0,0,0,4,0,0,0,0,0,12,0,1,7,0,0,25,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
July 29 - August 04,7,1,SEAREC_trial,Flowering,Fiber,Tori Strausser,4,22,2,3,0,0,9,0,0,356,0,0,0,4,4,0,0,0,0,6,0,2,20,4,0,89,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 29 - August 04,7,2,SEAREC_trial,Flowering,Fiber,Tori Strausser,3,35,2,3,0,0,15,23,0,165,0,9,3,8,20,3,0,0,1,29,0,0,21,0,0,65,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
July 29 - August 04,7,3,SEAREC_trial,Flowering,Fiber,Tori Strausser,6,34,0,3,0,0,2,10,0,128,0,8,1,16,4,3,0,0,0,16,0,0,12,1,0,53,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0
July 29 - August 04,7,4,SEAREC_trial,Flowering,Fiber,Tori Strausser,4,20,1,4,0,0,7,20,0,119,0,4,7,6,6,3,0,1,0,31,1,1,26,0,0,43,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
July 29 - August 04,7,5,SEAREC_trial,Flowering,Fiber,Tori Strausser,0,6,0,3,0,0,8,20,0,98,0,3,1,14,2,0,0,0,0,12,1,0,12,0,0,37,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0
July 29 - August 04,7,6,SEAREC_trial,Flowering,Fiber,Tori Strausser,2,4,1,1,0,0,0,5,0,85,0,0,0,3,0,1,0,0,0,1,0,0,16,2,0,24,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July 29 - August 04,7,7,SEAREC_trial,Flowering,Fiber,Tori Strausser,1,16,0,3,0,0,2,9,0,86,0,0,0,2,9,1,0,0,0,20,0,1,16,1,0,18,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
August 04 - August 11,8,1,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,0,14,0,1,0,0,9,3,0,220,0,0,2,3,12,3,0,1,0,20,0,1,38,1,0,27,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
August 04 - August 11,8,2,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,1,16,2,1,0,0,11,4,0,143,0,0,4,10,8,0,0,1,0,16,1,0,87,0,0,22,3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,4,0
August 04 - August 11,8,3,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,0,0,0,10,0,0,0,0,0,6,0,0,2,1,1,1,0,0,0,0,0,0,3,4,0,20,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
August 04 - August 11,8,4,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,2,15,2,3,0,0,1,6,0,155,0,3,19,2,19,3,0,0,1,3,0,4,28,0,0,31,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0
August 04 - August 11,8,5,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,1,17,2,2,0,0,3,6,0,137,0,0,6,2,23,2,0,0,0,35,0,1,40,0,0,6,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0
August 04 - August 11,8,6,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,0,2,0,1,0,0,0,1,0,87,0,1,8,1,1,0,0,1,0,5,0,0,53,0,0,10,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
August 11 - August 16,9,1,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,1,5,0,10,0,0,1,10,0,157,0,1,4,4,22,2,0,1,2,3,0,0,40,0,0,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
August 11 - August 16,9,2,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,1,3,0,1,0,0,5,17,0,258,0,3,13,15,21,1,0,1,0,16,0,2,43,0,0,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0
August 11 - August 16,9,3,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,2,5,1,5,0,0,5,24,0,172,0,0,5,13,49,9,0,1,4,14,0,2,26,0,0,28,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
August 11 - August 16,9,4,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,2,6,1,16,0,0,3,18,0,166,0,0,4,4,19,0,0,0,0,1,0,0,67,0,0,27,1,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0
August 11 - August 16,9,5,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,2,6,3,16,0,0,6,39,0,133,0,2,8,6,30,2,0,1,1,20,0,0,70,2,0,16,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0
August 11 - August 16,9,6,SEAREC_trial,Post_flowering,Fiber,Tori Strausser,0,6,1,1,0,0,5,29,0,357,0,6,7,3,27,6,0,2,0,17,0,0,22,1,0,32,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
June 17-June 24,1,1,Coexist farm,Vegetative,Fiber,Annie Urban,1,100,13,31,10,0,2,0,0,35,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,27,5,0,10,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0
June 17-June 24,1,2,Coexist farm,Vegetative,Fiber,Annie Urban,0,93,36,4,0,0,16,0,0,69,0,0,0,3,2,0,0,0,0,9,0,0,5,0,0,64,1,0,19,6,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0
June 17-June 24,1,3,Coexist farm,Vegetative,Fiber,Annie Urban,0,445,42,52,5,0,20,0,0,212,0,24,0,1,7,0,7,3,0,0,0,1,12,0,1,111,1,0,18,4,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
June 24-July 01,2,1,Coexist farm,Vegetative,Fiber,Annie Urban,7,735,32,12,0,0,3,0,0,283,0,63,0,7,2,1,0,8,3,2,0,0,22,0,2,47,1,0,10,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2
June 24-July 01,2,2,Coexist farm,Vegetative,Fiber,Annie Urban,19,92,39,12,0,0,7,0,0,403,0,14,0,4,3,0,0,3,1,0,0,0,9,0,0,65,8,0,8,1,7,32,0,0,0,0,0,0,0,0,0,0,1,4,0
June 24-July 01,2,3,Coexist farm,Vegetative,Fiber,Annie Urban,8,98,32,3,2,0,2,0,0,380,0,97,0,3,3,0,0,6,2,1,0,0,10,3,1,82,2,0,36,4,2,14,2,0,1,0,0,0,0,0,0,0,2,2,0
July 01-July 07,3,1,Coexist farm,Vegetative,Fiber,Annie Urban,21,569,22,12,0,0,7,0,0,413,0,84,0,30,45,0,0,40,0,9,0,1,13,3,13,83,1,0,5,2,1,52,0,0,1,0,0,0,0,0,0,0,0,1,0
July 01-July 07,3,2,Coexist farm,Vegetative,Fiber,Annie Urban,2,410,16,2,2,0,2,0,0,391,0,68,0,5,12,0,0,8,0,2,1,1,4,0,0,48,1,0,3,4,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0
July 01-July 07,3,3,Coexist farm,Vegetative,Fiber,Annie Urban,5,41,16,1,0,0,1,0,0,253,0,8,0,9,5,3,0,1,0,0,0,0,8,0,3,63,15,0,4,0,5,10,0,0,0,0,0,0,0,0,0,0,0,4,0
July 07 - July 14,4,1,Coexist farm,Vegetative,Fiber,Annie Urban,10,112,16,11,0,0,1,0,0,679,0,61,0,10,2,0,0,13,0,1,0,0,7,1,3,75,5,0,6,2,1,20,0,0,0,0,0,0,0,0,0,0,1,5,0
July 07 - July 14,4,2,Coexist farm,Vegetative,Fiber,Annie Urban,19,713,21,8,0,0,2,0,0,486,0,41,0,38,66,1,0,71,0,7,0,2,5,1,1,122,7,1,21,2,8,68,1,0,1,0,0,0,0,0,0,0,0,5,0
July 07 - July 14,4,3,Coexist farm,Vegetative,Fiber,Annie Urban,6,26,15,0,0,0,0,0,0,315,0,4,0,9,2,0,0,6,0,2,0,0,2,1,1,62,5,0,20,0,6,17,1,0,0,0,0,0,0,0,0,0,1,0,0
June 18 - July 01,1,1,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,1,32,0,12,0,0,16,0,0,46,0,2,11,0,1,3,0,0,1,0,0,0,1,4,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
June 18 - July 01,1,2,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,1,46,10,10,0,0,11,1,0,205,1,11,8,0,6,3,0,0,0,1,0,0,2,1,0,4,1,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,3,0
June 18 - July 01,1,3,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,3,44,8,14,0,0,24,0,0,53,1,5,1,1,0,1,0,0,1,0,0,0,5,4,0,6,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0
June 18 - July 01,1,4,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,0,19,4,1,0,0,13,2,0,139,0,1,0,0,1,8,0,0,0,4,0,0,6,4,0,1,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,2,1,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,2,43,5,3,0,0,29,0,0,88,1,4,0,0,2,1,0,0,1,2,0,0,4,0,0,1,1,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,2,1,0
July 01 - July 07,2,2,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,8,27,5,9,0,0,27,1,0,59,0,0,0,2,1,0,0,0,2,2,0,0,0,1,0,10,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,2,3,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,0,55,10,15,0,0,4,1,0,134,0,0,1,0,2,1,0,1,2,0,0,0,1,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
July 01 - July 07,2,4,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,9,114,5,1,0,0,37,3,0,91,1,0,3,2,8,1,0,0,2,5,0,1,3,1,1,1,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
July 07 - July 14,3,1,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,4,28,1,3,0,0,23,2,0,190,0,0,5,1,6,0,0,0,1,1,0,1,1,0,0,7,3,0,1,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0
July 07 - July 14,3,2,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,5,79,1,0,0,0,13,1,0,225,3,0,8,2,10,0,0,0,2,1,0,1,10,0,0,4,1,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,2,2,0
July 07 - July 14,3,3,SEAREC_fiber,Vegetative,Fiber,Tori Strausser,10,54,3,3,0,0,25,0,0,167,1,0,2,1,8,1,0,0,1,2,0,0,8,0,1,6,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
